,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,english skills
0,female,group B,bachelor's degree,standard,0,72,72,74,146
1,female,group C,some college,standard,1,69,90,88,178
2,female,group B,master's degree,standard,0,90,95,93,188
3,male,group A,associate's degree,free/reduced,0,47,57,44,101
4,male,group C,some college,standard,0,76,78,75,153
5,female,group B,associate's degree,standard,0,71,83,78,161
6,female,group B,some college,standard,1,88,95,92,187
7,male,group B,some college,free/reduced,0,40,43,39,82
8,male,group D,high school,free/reduced,1,64,64,67,131
9,female,group B,high school,free/reduced,0,38,60,50,110
10,male,group C,associate's degree,standard,0,58,54,52,106
11,male,group D,associate's degree,standard,0,40,52,43,95
12,female,group B,high school,standard,0,65,81,73,154
13,male,group A,some college,standard,1,78,72,70,142
14,female,group A,master's degree,standard,0,50,53,58,111
15,female,group C,some high school,standard,0,69,75,78,153
16,male,group C,high school,standard,0,88,89,86,175
17,female,group B,some high school,free/reduced,0,18,32,28,60
18,male,group C,master's degree,free/reduced,1,46,42,46,88
19,female,group C,associate's degree,free/reduced,0,54,58,61,119
20,male,group D,high school,standard,0,66,69,63,132
21,female,group B,some college,free/reduced,1,65,75,70,145
22,male,group D,some college,standard,0,44,54,53,107
23,female,group C,some high school,standard,0,69,73,73,146
24,male,group D,bachelor's degree,free/reduced,1,74,71,80,151
25,male,group A,master's degree,free/reduced,0,73,74,72,146
26,male,group B,some college,standard,0,69,54,55,109
27,female,group C,bachelor's degree,standard,0,67,69,75,144
28,male,group C,high school,standard,0,70,70,65,135
29,female,group D,master's degree,standard,0,62,70,75,145
30,female,group D,some college,standard,0,69,74,74,148
31,female,group B,some college,standard,0,63,65,61,126
32,female,group E,master's degree,free/reduced,0,56,72,65,137
33,male,group D,some college,standard,0,40,42,38,80
34,male,group E,some college,standard,0,97,87,82,169
35,male,group E,associate's degree,standard,1,81,81,79,160
36,female,group D,associate's degree,standard,0,74,81,83,164
37,female,group D,some high school,free/reduced,0,50,64,59,123
38,female,group D,associate's degree,free/reduced,1,75,90,88,178
39,male,group B,associate's degree,free/reduced,0,57,56,57,113
40,male,group C,associate's degree,free/reduced,0,55,61,54,115
41,female,group C,associate's degree,standard,0,58,73,68,141
42,female,group B,associate's degree,standard,0,53,58,65,123
43,male,group B,some college,free/reduced,1,59,65,66,131
44,female,group E,associate's degree,free/reduced,0,50,56,54,110
45,male,group B,associate's degree,standard,0,65,54,57,111
46,female,group A,associate's degree,standard,1,55,65,62,127
47,female,group C,high school,standard,0,66,71,76,147
48,female,group D,associate's degree,free/reduced,1,57,74,76,150
49,male,group C,high school,standard,1,82,84,82,166
50,male,group E,some college,standard,0,53,55,48,103
51,male,group E,associate's degree,free/reduced,1,77,69,68,137
52,male,group C,some college,standard,0,53,44,42,86
53,male,group D,high school,standard,0,88,78,75,153
54,female,group C,some high school,free/reduced,1,71,84,87,171
55,female,group C,high school,free/reduced,0,33,41,43,84
56,female,group E,associate's degree,standard,1,82,85,86,171
57,male,group D,associate's degree,standard,0,52,55,49,104
58,male,group D,some college,standard,1,58,59,58,117
59,female,group C,some high school,free/reduced,0,0,17,10,27
60,male,group E,bachelor's degree,free/reduced,1,79,74,72,146
61,male,group A,some high school,free/reduced,0,39,39,34,73
62,male,group A,associate's degree,free/reduced,0,62,61,55,116
63,female,group C,associate's degree,standard,0,69,80,71,151
64,female,group D,some high school,standard,0,59,58,59,117
65,male,group B,some high school,standard,0,67,64,61,125
66,male,group D,some high school,free/reduced,0,45,37,37,74
67,female,group C,some college,standard,0,60,72,74,146
68,male,group B,associate's degree,free/reduced,0,61,58,56,114
69,female,group C,associate's degree,standard,0,39,64,57,121
70,female,group D,some college,free/reduced,1,58,63,73,136
